u,mu,t,i,ev,obs,val_re,val_im
1.0,0.0,0.0,1,1,â⁺,0.013397449568969343,0.0
1.0,0.0,0.0,1,1,â,0.013397449568969343,0.0
1.0,0.0,0.0,1,1,n̂,0.5051393385974838,0.0
1.0,0.0,0.0,2,1,â⁺,0.014195672499440648,0.0
1.0,0.0,0.0,2,1,â,0.014195672499440648,0.0
1.0,0.0,0.0,2,1,n̂,0.5631151152222292,0.0
1.0,0.0,0.0,3,1,â⁺,-0.03793507346385255,0.0
1.0,0.0,0.0,3,1,â,-0.03793507346385255,0.0
1.0,0.0,0.0,3,1,n̂,0.47852519117715286,0.0
1.0,0.0,0.0,4,1,â⁺,-0.04899371885257931,0.0
1.0,0.0,0.0,4,1,â,-0.04899371885257931,0.0
1.0,0.0,0.0,4,1,n̂,0.44782781881176664,0.0
1.0,0.0,0.0,5,1,â⁺,-0.0016316909605542237,0.0
1.0,0.0,0.0,5,1,â,-0.0016316909605542237,0.0
1.0,0.0,0.0,5,1,n̂,0.575084266854443,0.0
1.0,0.0,0.0,6,1,â⁺,-0.019786869370866617,0.0
1.0,0.0,0.0,6,1,â,-0.019786869370866617,0.0
1.0,0.0,0.0,6,1,n̂,0.516736456105851,0.0
1.0,0.0,0.0,7,1,â⁺,-0.009179736682944216,0.0
1.0,0.0,0.0,7,1,â,-0.009179736682944216,0.0
1.0,0.0,0.0,7,1,n̂,0.5385508009633989,0.0
1.0,0.0,0.0,8,1,â⁺,-0.04888523989668151,0.0
1.0,0.0,0.0,8,1,â,-0.04888523989668151,0.0
1.0,0.0,0.0,8,1,n̂,0.5400627493035733,0.0
1.0,0.0,0.0125,1,1,â⁺,0.0030660039193281955,0.0
1.0,0.0,0.0125,1,1,â,0.0030660039193281955,0.0
1.0,0.0,0.0125,1,1,n̂,0.48821902234919967,0.0
1.0,0.0,0.0125,2,1,â⁺,0.0016111402942544325,0.0
1.0,0.0,0.0125,2,1,â,0.0016111402942544325,0.0
1.0,0.0,0.0125,2,1,n̂,0.50724002146319,0.0
1.0,0.0,0.0125,3,1,â⁺,0.003140885603496844,0.0
1.0,0.0,0.0125,3,1,â,0.003140885603496844,0.0
1.0,0.0,0.0125,3,1,n̂,0.5020182779798165,0.0
1.0,0.0,0.0125,4,1,â⁺,0.0027205678532646435,0.0
1.0,0.0,0.0125,4,1,â,0.0027205678532646435,0.0
1.0,0.0,0.0125,4,1,n̂,0.5030269702701201,0.0
1.0,0.0,0.0125,5,1,â⁺,0.0035880235951661157,0.0
1.0,0.0,0.0125,5,1,â,0.0035880235951661157,0.0
1.0,0.0,0.0125,5,1,n̂,0.5039951177368531,0.0
1.0,0.0,0.0125,6,1,â⁺,0.004632280705725673,0.0
1.0,0.0,0.0125,6,1,â,0.004632280705725673,0.0
1.0,0.0,0.0125,6,1,n̂,0.49960994577933504,0.0
1.0,0.0,0.0125,7,1,â⁺,0.0016900033105476933,0.0
1.0,0.0,0.0125,7,1,â,0.0016900033105476933,0.0
1.0,0.0,0.0125,7,1,n̂,0.505941950579296,0.0
1.0,0.0,0.0125,8,1,â⁺,0.0025311977559074198,0.0
1.0,0.0,0.0125,8,1,â,0.0025311977559074198,0.0
1.0,0.0,0.0125,8,1,n̂,0.49053707350837994,0.0
1.0,0.0,0.025,1,1,â⁺,-0.0002278530167583041,0.0
1.0,0.0,0.025,1,1,â,-0.0002278530167583041,0.0
1.0,0.0,0.025,1,1,n̂,0.4798351935341764,0.0
1.0,0.0,0.025,2,1,â⁺,-0.0002723935079329687,0.0
1.0,0.0,0.025,2,1,â,-0.0002723935079329687,0.0
1.0,0.0,0.025,2,1,n̂,0.5123832071852198,0.0
1.0,0.0,0.025,3,1,â⁺,2.8721245024236494e-5,0.0
1.0,0.0,0.025,3,1,â,2.8721245024236494e-5,0.0
